vehicle_type_code1,collision_count
CONVE,1
Food,2
CASE,3
MVP,1
Tow,6
15 pa,1
MTA Van,1
vespa,1
Dirt Bike,2
TRUCK FLAT,1
MANUAL SCO,1
JETSKI,1
FDNY EMS,6
NYC FIRE T,2
HEAVY,2
UPS truck,1
Tk,4
LMTV,1
TOWMA,1
unknown,6
FORD SPRIN,1
UTLIT,1
BACK HOE,1
Self Insur,4
NTTRL,1
VAN/T,4
nypd,1
utility,4
scooter,13
Golf Cart,4
Gas Scoote,3
pedicab,1
FD AMBULAN,1
Courier,3
Usaa,1
Constructi,1
NYC a,1
miniv,2
SCHOOL  BU,1
gas scoote,1
TL TR,1
ebike,1
work,4
util,5
WORK VAN,3
DIESE,1
Fork Lift,3
CAR/SUV,1
Electric m,1
9999,1
Suv,1
GATOR,2
2 WHE,1
Van truck,1
suburban,2
fork lift,2
cater,2
BULLD,4
AMbul,1
FDNY ENGIN,4
4 axe,1
passa,1
TL,3
sanitaton,1
Pavin,2
FDNY 245 E,1
uhaul,2
Detached t,1
forlift,1
Fork,3
ram,1
VAV,2
FD tr,1
Utility ve,2
985,1
Government,3
SELF INSUR,6
COMMU,1
ford van,1
USPS small,1
CEMEN,7
POWER LADD,1
ESU T,2
FDNY EMS#1,1
P/U,1
Bucket Tru,2
trlr,1
Mack,2
d3,1
DUMPSTER T,1
skate,1
SMART,1
mopad,2
Feder,1
EMS Bus,1
FRHT TRAIL,1
FOOD,6
5,1
MACK TRUCK,3
Snowmobile,1
rd/s,1
TLC,2
mobil,1
SFI,1
ESCOOTER S,1
yellow cab,1
OMT,10
crane,4
MTA b,1
NYC TRANSI,2
VERIZ,2
CARRIER,1
excav,1
15 PA,1
MOBIL,3
backhoe re,1
MINI VAN,1
C3,3
LIVER,4
PKUP,3
PASSENGER,9
NYC BUS,1
Sprinter,1
FDNY fire,1
GEN  AMBUL,1
postal ser,1
na,1
NJ transit,1
RUBBE,1
Marke,2
Flat,4
KP160,1
TRANSPORT,1
GRAY,2
SCOOTER GA,1
tower,1
Usps mail,1
MOVING TRU,1
NYS AMBULA,5
rv,4
UNKN,1
ECONOLINE,2
Mopd,1
G com,1
VAN WH,1
mini bus,1
P/SH,7
CITY,6
FDNY Vehic,1
HWH,1
RINGO,1
house on w,2
usps truck,1
MOBILITY S,1
Pickup,5
nyc d,1
Ambulette,1
DIRT BIKE,4
Sanitation,11
Rescu,3
RD/S,4
Garbage Tr,5
CHEVROLET,1
UTILITY TR,4
Comix,1
Scoot,10
DIRT,2
Cement Tru,2
SEMI TRAIL,2
FRONT,1
access-a-r,1
RESCU,1
7,1
MTA bus,2
50cc Scoot,1
DELVI,1
U-Haul,2
fdny ems,1
van w,1
TRANS,5
U-Haul min,1
Inter,1
FREIGHT VA,1
DOT T,1
escavator,1
Yellow sch,1
icecr,1
fork,8
FD TR,1
mc,2
AERIA,1
Track trai,1
G TOW,2
SP PURPOSE,2
Pick-Up,2
D3,2
tr,7
PUMP,2
SWEEP,2
progr,1
Nissan,1
PUMPE,1
LMB,1
USPS VAN,2
TRAILOR,1
F650,1
SEMI-,2
picku,9
Attac,1
semi,4
hino,1
Toyota,1
PEDIC,1
taxi,3
Lawnmower,1
PLOW,1
Work Van,2
NY CITY MT,1
White Van,1
MINI,6
FLATBED,5
E Bike w p,1
USPS TRUCK,10
COMM,7
NYC MTA BU,1
US POSTAL,6
PEDAL BIKE,1
CHART,1
FOOD CART,2
YELLOW TAX,1
PROMASTER,1
FLEET,2
RV/Tr,1
NT TR,1
moped scoo,1
Motorscoot,2
ENGIN,2
NO/BU,1
Delivery t,3
E-scooter,4
Bobcat,2
Lim,1
ELECTRIC B,1
GOVERMENT,1
BOX H,1
Delivery V,1
PUMPER,1
3-whe,2
DRILL RIG,1
E.M.S,1
SANITATION,7
GOLF CAR,1
SEGWA,2
ABULA,1
MO-PED,1
ALL TERRAI,1
