vehicle_type_code1,collision_count
SEMI TRAIL,2
VERIZ,2
NYC TRANSI,2
l1,2
utility ve,2
FDNY Fire,2
DOLLY,2
unkow,2
USPS VAN,2
Pass,2
Van Truck,2
dirt,2
Ebike,2
Postal tru,2
MTA bus,2
U-Haul,2
Work Van,2
Marke,2
CATER,2
CITY OF NE,2
Street swe,2
road,2
delivery t,2
BOOM,2
G PSD,2
sprinter v,2
FLATBED TO,2
ECONOLINE,2
BUCKE,2
FLEET,2
a,2
4door,2
pick up tr,2
us postal,2
NYC AMBULA,2
BK,2
cargo,2
BOOM LIFT,2
NOT I,2
VAV,2
TRANSPORT,2
NEW Y,2
SEMI-,2
PAYLO,2
LTR,2
USPS POSTA,2
ICE C,2
UNKOW,2
GLBEN,2
Freight,2
EMS A,2
Backhoe,2
ORION,1
VANG,1
CITYWIDE,1
Flatbed Pi,1
REVEL scoo,1
CITY OWNED,1
BICYC,1
"A,n",1
Ele. Unicy,1
Trac,1
CONSTRUCTI,1
15 PA,1
CONCR,1
STREET,1
MANUAL SCO,1
Asphalt Pa,1
freightlin,1
fedx,1
U.S. POSTA,1
CON E,1
GE/SC,1
SELF-,1
COUPE,1
Usaa,1
4 RUN,1
UPS M,1
FIRTRUCK,1
Power,1
CABIN,1
PSP,1
Wh Ford co,1
DRILL RIG,1
MOOPER,1
Can,1
Pickup Tru,1
Govt P/U T,1
nyc,1
OZ MO,1
nat grid t,1
997,1
Backhoe Lo,1
DEPARTMENT,1
CATAPILLAR,1
Work van,1
e amb,1
Honda HRV,1
School van,1
commerial,1
7,1
DOT EQUIPM,1
METRO TRAN,1
Inter,1
VAN/B,1
Quality tr,1
Cmix,1
Farm,1
ulili,1
progr,1
mailtruck,1
Nissan,1
e bike uni,1
MOPPED,1
depar,1
Hino,1
Attac,1
TR/KI,1
FDNY CHIEF,1
usps 88716,1
RGR,1
FDNY ambul,1
REVEL MOPE,1
HOSRE,1
dp,1
nypd,1
MINI VAHN,1
5X8 T,1
STREET CLE,1
RGS,1
post offic,1
TRAC.,1
VAN WH,1
197209,1
Kubota bac,1
rgs,1
E bike,1
limo,1
SPARK150 S,1
FEDEX TRUC,1
�MBU,1
moter,1
POSTAL VEH,1
I-haul,1
COT,1
GOV V,1
FLAT-,1
CONT,1
Fdny Ems T,1
NYPD VAN,1
SEMI TRUCK,1
bobct,1
MOTOR HOME,1
FDNY 245 E,1
U-HAUL TRU,1
dhl t,1
hi-lo,1
ECONO,1
postal van,1
GARBAGE ST,1
escavator,1
icecr,1
USPS small,1
LSA,1
COACH,1
WORKM,1
1C,1
Gator 4x4,1
mot,1
DOT TRUCK,1
BUs,1
Van (,1
mobil,1
100th truc,1
HEAVY TRUC,1
FREIGHT FL,1
AMUBULANCE,1
g com,1
TRUCK TRAI,1
VAN A,1
UNKNW,1
X TRL,1
MVP,1
Tank,1
OTH,1
back,1
MINI VAN,1
G1`,1
COLL,1
LIABITIY,1
MOPED 150C,1
ARMY,1
MOT,1
vAN,1
City Owned,1
Uhaul,1
FD Ambulan,1
Sprinter,1
sgws,1
DODGE RAM,1
HDC,1
US GO,1
MOVING VAN,1
KP160,1
WHIT,1
REN,1
UHUAL,1
Limo,1
VAN (TRANS,1
Pick-,1
Scooter ga,1
crane boom,1
police rep,1
SERVI,1
BULLDOZER,1
PAS V,1
NYC FDNY #,1
NYFD ambul,1
scoo,1
Standing S,1
PU,1
gas moped,1
boxtr,1
PUSH SCOOT,1
Sweep,1
MCY B,1
12 passage,1
EMS T,1
AMbul,1
ELEC. UNIC,1
MDX,1
YW PO,1
Spc,1
VAGON,1
FDNY UTILI,1
leu,1
fdny ambul,1
UHaul,1
dodge,1
DOT T,1
te,1
BKHOE,1
bulld,1
house,1
LD,1
GOVT.,1
van c,1
SAVANA,1
TRANSIT,1
AMULANCE,1
ESCOOTER S,1
TRAILOR,1
Utility Ve,1
REG,1
PASS VAN,1
refuse tru,1
2015,1
e skate bo,1
u-hau,1
PLOW,1
del truck,1
truck trai,1
TRUCK CRAN,1
FORD F-150,1
FORD SPRIN,1
U-HAL,1
COMMERICIA,1
postal ser,1
VAN W,1
LADDER 34,1
Usps mail,1
D/V WB,1
REPAI,1
NYC a,1
BOX H,1
Go kart,1
John,1
USPS #7530,1
EMS TRUCK,1
dirt bike,1
E450,1
Livery Bus,1
EMS BUS,1
Van truck,1
CAT FORKLI,1
amulance,1
Ambulette,1
Pick wh,1
?omme,1
backhoe,1
Razor Scoo,1
amazon tru,1
oml,1
FIRER,1
Dodge,1
SUBR,1
R/V C,1
SLINGSHOT,1
cm,1
Red moped,1
