rounded_latitude,rounded_longitude,no_of_collisions
40.7007,-73.9419,287
40.7371,-73.9308,287
40.7419,-73.9075,287
40.7821,-73.8248,287
40.6164,-74.1035,286
40.6556,-73.9599,286
40.6656,-73.7298,286
40.8623,-73.8959,286
40.6089,-74.1533,284
40.6628,-73.8809,284
40.7613,-73.9557,284
40.6632,-73.9624,284
40.7655,-73.98,282
40.6841,-73.9775,282
40.8102,-73.9512,281
40.7019,-73.937,280
40.7402,-73.9864,280
40.7703,-73.9159,280
40.8127,-73.9376,280
40.7689,-73.9821,279
40.8402,-73.9431,279
40.8161,-73.9177,279
40.6729,-73.9992,278
40.6766,-73.9165,278
40.6792,-73.9553,278
40.7521,-73.9777,278
40.7192,-73.9904,278
40.8619,-73.9127,278
40.6053,-73.7553,277
40.753,-73.9102,277
40.7573,-73.986,277
40.844,-73.8975,277
40.8783,-73.8701,277
40.7305,-73.9515,276
40.7503,-73.9911,276
40.7598,-73.9842,276
40.7865,-73.9526,275
40.6566,-73.9309,274
40.7563,-73.8337,274
40.8264,-73.9505,274
40.8783,-73.8702,274
40.8158,-73.8953,274
40.7583,-73.9964,273
40.7968,-73.9294,273
40.8655,-73.9273,273
40.7498,-73.9878,273
40.7657,-73.9762,273
40.7277,-73.9067,272
40.764,-73.8281,272
40.7172,-74.0129,272
40.6481,-73.9147,271
40.7222,-73.9863,271
40.7639,-73.915,271
40.8153,-73.9437,271
40.6355,-74.0167,270
40.7554,-73.8283,270
40.8574,-73.9,270
40.6664,-73.7576,268
40.6948,-73.9839,268
40.7714,-73.8771,268
40.8244,-73.8736,267
40.8137,-73.9314,267
40.7618,-73.9791,266
40.7547,-73.9954,266
40.6191,-73.9902,265
40.6424,-73.9254,265
40.8449,-73.9264,265
40.5779,-74.1023,264
40.7221,-73.7777,264
40.762,-73.7585,264
40.7553,-73.9912,264
40.757,-74.0049,263
40.7623,-73.7571,263
40.7225,-74.0063,263
40.6224,-73.9366,263
40.7578,-73.7834,262
40.8677,-73.9212,262
40.8285,-73.8412,262
40.6304,-73.8859,261
40.6625,-73.8407,261
40.7259,-73.9007,261
40.7382,-73.8492,261
40.7967,-73.9292,261
40.6797,-73.7616,260
40.626,-73.9762,260
40.6444,-73.9296,259
40.6508,-73.9496,259
40.7623,-73.9724,259
40.7655,-73.9137,259
40.8096,-73.9292,259
40.5959,-74.0859,258
40.645,-73.92,258
40.6608,-73.9197,258
40.717,-73.8297,258
40.821,-73.8916,258
40.7151,-73.8322,257
40.7223,-74.0059,257
40.7516,-73.9338,256
40.7565,-73.9703,256
40.7635,-73.9693,256
40.7583,-73.8343,255
40.7654,-73.7443,255
40.7953,-73.9732,255
40.7703,-73.9914,255
40.6529,-73.9593,254
40.6636,-73.9316,254
40.6983,-73.9623,254
40.7257,-74.0058,254
40.7532,-73.9666,254
40.7936,-73.967,254
40.5986,-73.9973,253
40.7547,-73.9916,253
40.8131,-73.8983,253
40.5765,-74.1037,252
40.6539,-74.0082,252
40.6668,-73.7894,252
40.7127,-73.9006,252
40.7589,-73.9685,252
40.7602,-73.9988,252
40.7604,-73.9875,252
40.8464,-73.8446,252
40.5804,-73.9676,251
40.6663,-73.7609,251
40.7859,-73.9509,251
40.7162,-73.9961,250
40.8361,-73.9224,250
40.6094,-74.0901,249
40.6653,-73.7353,249
40.7141,-73.9532,248
40.7624,-73.8275,248
40.8277,-73.8861,248
40.8593,-73.8988,248
40.756,-73.9907,248
40.6842,-73.8461,248
40.5928,-73.9081,247
40.6095,-73.7537,247
40.6867,-73.9794,247
40.7624,-73.9786,247
40.7853,-73.9693,247
40.8108,-73.9526,247
40.6341,-73.9285,246
40.6775,-73.9303,246
40.699,-73.957,246
40.7107,-73.793,246
40.7416,-73.9937,246
40.7688,-73.9584,246
40.8618,-73.8929,246
40.7309,-73.8646,246
40.7445,-73.7718,245
40.7979,-73.94,245
40.8034,-73.9331,245
40.696,-73.9832,244
40.7509,-73.9981,244
40.7541,-73.9921,244
40.7637,-73.9735,244
40.8695,-73.8262,244
40.7613,-73.9171,243
40.7621,-73.7569,243
40.7477,-74.0042,243
40.6194,-73.9696,243
40.7118,-73.8361,243
40.5798,-73.9718,242
40.7,-73.9868,242
40.7384,-73.849,242
40.8548,-73.9112,242
40.6597,-73.7738,242
40.6888,-73.9991,241
40.6917,-73.7624,241
40.7223,-73.7772,241
40.7282,-73.8331,241
40.7546,-73.9991,241
40.7622,-73.9682,241
40.5965,-73.9079,241
40.7318,-73.7701,241
40.6606,-73.9313,240
40.6664,-73.8348,240
40.6998,-73.991,240
40.7479,-73.9736,240
40.7596,-73.962,240
40.7667,-73.8921,240
40.8392,-73.9411,240
40.8627,-73.9049,240
40.7577,-73.9694,240
40.6464,-73.9708,239
40.6693,-73.8424,239
40.7591,-73.9921,239
40.7644,-73.9616,239
40.7854,-73.984,239
40.7173,-73.9954,239
40.695,-73.9525,238
40.7497,-73.9916,238
40.8281,-73.9311,238
40.8281,-73.841,238
40.7592,-73.9884,238
40.8178,-73.8932,238
40.6817,-73.8716,238
40.6994,-73.9534,237
40.796,-73.9354,237
40.8082,-73.9265,237
40.818,-73.9252,237
40.6966,-73.9809,236
40.7006,-73.8546,236
40.7202,-73.8448,236
40.7323,-73.9849,236
40.7652,-73.9317,236
40.6248,-73.9652,235
40.6422,-74.0206,235
40.657,-73.8894,235
40.6706,-73.931,235
40.6815,-73.9041,235
40.7264,-73.7658,235
40.7955,-73.9656,235
40.8165,-73.9282,235
40.5798,-73.9762,234
40.6917,-73.7792,234
40.7251,-73.9953,234
40.7326,-73.8686,234
40.754,-73.9424,234
40.785,-73.9826,234
40.7965,-73.976,234
40.6724,-73.7857,233
40.6968,-73.9566,233
40.7517,-73.9864,233
40.6664,-73.7518,233
40.6578,-73.8961,232
40.667,-73.7708,232
40.6707,-73.917,232
40.6959,-73.9832,232
40.7319,-73.8634,232
40.7427,-73.8462,232
40.8064,-73.9423,232
40.8943,-73.8603,232
40.7502,-73.9791,232
40.758,-73.9855,232
40.6659,-73.9255,231
40.7489,-73.9758,231
40.7523,-73.9897,231
40.762,-73.9254,231
40.7699,-73.9161,231
40.8278,-73.9259,231
40.578,-73.9596,230
40.6072,-74.1624,230
40.7237,-74.0061,230
40.7263,-73.7651,230
40.8441,-73.898,230
40.7517,-73.9901,229
40.7529,-73.993,229
40.7266,-73.838,228
40.7565,-73.9978,228
40.7641,-73.9648,228
40.7723,-73.9259,228
40.8047,-73.9322,228
40.8484,-73.9377,228
40.7102,-74.0011,228
40.6326,-74.0125,228
40.6019,-73.9938,227
40.6553,-73.9032,227
40.6553,-73.9308,227
40.802,-73.9497,227
40.8264,-73.9212,227
40.8292,-73.9373,227
40.8309,-73.9205,227
40.8599,-73.8932,227
40.6774,-73.8869,226
40.7573,-73.9781,226
40.7602,-73.9615,226
40.7629,-73.8607,226
40.7181,-73.9938,226
40.8411,-73.8645,226
40.6635,-73.9572,225
40.6973,-73.9323,225
40.7233,-74.003,225
40.8054,-73.9209,225
40.8063,-73.9332,225
40.8344,-73.8793,225
40.749,-73.98,224
40.7583,-73.9578,224
40.7615,-73.9978,224
40.8252,-73.9476,224
40.7515,-73.9939,224
40.719,-73.9898,224
40.7559,-73.9982,224
40.7525,-73.8526,224
40.6144,-74.0396,223
40.6546,-73.922,223
40.6697,-73.9477,223
40.7008,-73.9909,223
40.7237,-74.0079,223
40.7388,-73.814,223
40.7469,-73.8347,223
40.616,-73.9448,223
40.6862,-73.8242,223
40.7157,-73.8257,222
40.766,-73.9834,222
40.8018,-73.9312,222
40.803,-73.9363,222
40.7465,-74.0013,222
40.7514,-73.976,222
40.6526,-73.9498,222
40.6331,-73.9722,222
40.6909,-73.7282,222
40.7464,-73.9797,221
40.768,-73.9117,221
40.8733,-73.8536,221
40.7204,-74.0067,221
40.6125,-73.9629,220
40.698,-73.9628,220
40.7098,-73.8204,220
40.7236,-73.991,220
40.7485,-73.9925,220
40.7497,-73.9362,220
40.7546,-73.9992,220
40.7559,-73.9945,220
40.7616,-73.9707,220
40.8382,-73.8767,220
40.6658,-73.7464,219
40.6972,-73.8133,219
40.7497,-73.9836,219
40.7523,-73.8324,219
40.7568,-73.9672,219
40.7615,-73.8311,219
40.8751,-73.9052,219
40.7593,-73.9809,219
40.7021,-73.9926,219
40.6352,-73.9286,219
40.6782,-73.9442,218
40.6946,-73.9561,218
40.7192,-73.9903,218
40.7204,-74.0033,218
40.7451,-73.9335,218
40.746,-73.9905,218
40.7522,-73.9391,218
40.7152,-74.0134,218
40.644,-73.8775,217
40.7152,-73.952,217
40.7185,-73.9948,217
40.7412,-73.8457,217
40.7605,-73.8265,217
40.7704,-73.9177,217
40.8477,-73.9124,217
40.6523,-73.956,216
40.6697,-73.861,216
40.6749,-73.8019,216
40.6779,-73.9386,216
40.7199,-73.9788,216
